thuốc nhuận tràng,tiêu hóa
Thuốc trị loét dạ dày,tiêu hóa
thuốc trị tiêu chảy,tiêu hóa
Thuốc làm tan sỏi mật,tiêu hóa
Thuốc trị bệnh trĩ,tiêu hóa
Thuốc chống nôn,tiêu hóa
Thuốc gây nôn,tiêu hóa
Thuốc tẩy ruột,tiêu hóa
Thuốc trị lỵ,tiêu hóa
Thuốc trị thiếu máu,hệ tạo máu
Thuốc trị tăng huyết áp,hệ tim mạch
Thuốc trị suy tim,hệ tim mạch
Thuốc trị loạn nhịp tim,hệ tim mạch
Thuốc chống cơn đau thắt ngực,hệ tim mạch
Thuốc lợi tiểu,hệ tim mạch
Thuốc làm giảm lipid huyết tương,hệ tim mạch
Hormon vùng dưới đồi và hormon tuyến giápnội tiết tố
Hormon tuyến giáp và các thuốc kháng giáp,nội tiết tố
Hormon tuyến tụy và các thuốc điều trị tiểu đường,nội tiết tố